,Title,Price,Rating
0,A Light in the ...,51.77,3
1,Tipping the Velvet,53.74,1
2,Soumission,50.1,1
3,Sharp Objects,47.82,4
4,Sapiens: A Brief History ...,54.23,5
5,The Requiem Red,22.65,1
6,The Dirty Little Secrets ...,33.34,4
7,The Coming Woman: A ...,17.93,3
8,The Boys in the ...,22.6,4
9,The Black Maria,52.15,1
10,Starving Hearts (Triangular Trade ...,13.99,2
11,Shakespeare's Sonnets,20.66,4
12,Set Me Free,17.46,5
13,Scott Pilgrim's Precious Little ...,52.29,5
14,Rip it Up and ...,35.02,5
15,Our Band Could Be ...,57.25,3
16,Olio,23.88,1
17,Mesaerion: The Best Science ...,37.59,1
18,Libertarianism for Beginners,51.33,2
19,It's Only the Himalayas,45.17,2
